date,sales,prix,wday,month,event_name_1,event_type_1,snap_WI,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex
2011-11-22,92.0,1.28,4,11,no_event,no_event,0,2.3,-0.9,85.2,0.0,no_precip,22.3,11.5,64.7,1
2011-11-23,163.0,1.28,5,11,no_event,no_event,0,2.7,1.7,81.4,0.0,no_precip,13.6,9.0,26.3,5
2011-11-24,101.0,1.28,6,11,Thanksgiving,National,0,6.5,3.5,86.7,0.0,no_precip,23.8,7.3,64.4,3
2011-11-25,100.0,1.28,7,11,no_event,no_event,0,9.2,7.6,75.3,0.0,no_precip,20.3,15.3,50.3,2
2011-11-26,96.0,1.28,1,11,no_event,no_event,0,9.9,9.2,85.9,7.626,rain,23.5,10.7,100.0,1
2011-11-27,91.0,1.28,2,11,no_event,no_event,0,1.9,-2.6,75.6,0.0,no_precip,27.8,16.0,100.0,4
2011-11-28,39.0,1.28,3,11,no_event,no_event,0,-1.2,-2.2,76.7,0.0,no_precip,9.4,14.0,62.6,5
2011-11-29,94.0,1.28,4,11,no_event,no_event,0,0.2,-5.1,67.8,0.0,no_precip,36.7,16.0,11.7,3
2011-11-30,69.0,1.28,5,11,no_event,no_event,0,0.6,-1.7,51.1,0.0,no_precip,14.7,16.0,18.0,4
2011-12-01,66.0,1.28,6,12,no_event,no_event,0,2.2,-0.5,60.2,0.0,no_precip,23.2,15.7,50.1,2
2011-12-02,173.0,1.28,7,12,no_event,no_event,1,-1.4,-4.4,69.7,0.0,no_precip,21.5,15.5,7.5,5
2011-12-03,200.0,1.28,1,12,no_event,no_event,1,5.5,2.2,90.8,18.121,rain,22.5,7.2,94.8,1
2011-12-04,149.0,1.28,2,12,no_event,no_event,0,3.2,0.7,86.7,6.313,rain,22.7,12.2,100.0,4
2011-12-05,112.0,1.28,3,12,no_event,no_event,1,-0.2,-4.1,85.6,0.0,no_precip,19.3,12.1,100.0,2
2011-12-06,93.0,1.28,4,12,no_event,no_event,1,-2.6,-5.4,68.4,0.0,no_precip,18.0,16.0,95.8,2
2011-12-07,81.0,1.28,5,12,no_event,no_event,0,-3.6,-7.4,66.9,0.0,no_precip,16.5,15.9,57.1,4
2011-12-08,126.0,1.28,6,12,no_event,no_event,1,-2.3,-5.3,60.7,0.0,no_precip,18.4,15.2,60.6,3
2011-12-09,116.0,1.28,7,12,no_event,no_event,1,-6.9,-11.3,50.3,0.0,no_precip,16.6,16.0,21.8,4
2011-12-10,166.0,1.28,1,12,no_event,no_event,0,-7.1,-10.9,59.3,0.0,no_precip,22.0,16.0,22.4,4
2011-12-11,128.0,1.28,2,12,no_event,no_event,1,0.7,-3.7,72.1,0.0,no_precip,23.7,13.4,9.9,4
2011-12-12,114.0,1.28,3,12,no_event,no_event,1,2.9,-0.2,72.0,0.0,no_precip,17.9,12.5,93.0,3
2011-12-13,75.0,1.28,4,12,no_event,no_event,0,4.0,3.5,65.9,0.0,no_precip,10.8,15.3,100.0,4
2011-12-14,96.0,1.28,5,12,no_event,no_event,1,6.0,3.7,94.5,16.049,rain,21.0,5.3,100.0,3
2011-12-15,103.0,1.28,6,12,no_event,no_event,1,3.6,-0.3,73.6,0.667,rain,26.8,15.3,88.1,3
2011-12-16,178.0,1.28,7,12,no_event,no_event,0,-3.5,-5.7,67.7,0.0,no_precip,12.4,16.0,19.2,4
2011-12-17,148.0,1.28,1,12,no_event,no_event,0,-2.8,-4.5,83.7,1.728,snow,9.7,10.0,90.6,3
2011-12-18,102.0,1.28,2,12,no_event,no_event,0,-0.3,-3.0,80.3,0.0,no_precip,24.9,12.4,3.1,4
2011-12-19,222.0,1.28,3,12,no_event,no_event,0,2.9,0.6,76.9,0.0,no_precip,24.0,15.2,41.9,4
2011-12-20,2.0,1.28,4,12,no_event,no_event,0,-0.8,-2.1,80.6,0.0,no_precip,12.8,15.4,54.8,3
2011-12-21,101.36602363627821,1.28,5,12,no_event,no_event,0,1.4,0.0,89.8,0.645,"rain,snow",11.5,7.3,76.3,4
2011-12-22,4.0,1.28,6,12,no_event,no_event,0,-0.7,-4.4,82.7,2.068,"rain,snow",21.7,10.9,87.8,2
2011-12-23,10.0,1.28,7,12,no_event,no_event,0,-4.8,-7.9,73.1,0.0,no_precip,23.2,15.3,46.3,3
2011-12-24,288.0,1.48,1,12,no_event,no_event,0,-0.6,-4.1,71.8,0.0,no_precip,21.0,15.7,11.7,4
2011-12-25,71.30145745870868,1.48,2,12,Christmas,National,0,2.2,-0.7,64.7,0.0,no_precip,26.2,16.0,20.0,4
2011-12-26,86.0,1.48,3,12,no_event,no_event,0,1.7,-1.6,67.3,0.0,no_precip,26.4,16.0,20.2,4
2011-12-27,106.0,1.48,4,12,no_event,no_event,0,0.7,-3.6,68.8,0.0,no_precip,33.0,16.0,49.2,3
2011-12-28,31.0,1.48,5,12,Chanukah End,Religious,0,-5.1,-8.7,72.6,0.0,no_precip,17.6,16.0,43.7,3
2011-12-29,51.67176704894183,1.48,6,12,no_event,no_event,0,1.2,-1.3,78.9,0.0,no_precip,22.0,13.6,33.1,4
2011-12-30,45.49872744643898,1.48,7,12,no_event,no_event,0,-0.1,-3.9,91.7,6.598,"rain,snow",23.4,5.7,81.1,1
2011-12-31,374.0,1.28,1,12,no_event,no_event,0,-1.0,-4.7,93.0,0.0,no_precip,25.6,5.3,71.2,2
2012-01-01,82.0,1.28,2,1,NewYear,National,0,0.0,-5.3,75.2,2.247,"rain,snow",37.6,12.6,99.9,4
2012-01-02,76.0,1.28,3,1,no_event,no_event,1,-7.0,-14.7,60.9,0.0,no_precip,33.7,14.8,72.6,3
2012-01-03,106.0,1.28,4,1,no_event,no_event,1,-7.4,-11.9,56.7,0.0,no_precip,33.5,16.0,0.0,4
2012-01-04,128.0,1.28,5,1,no_event,no_event,0,-1.6,-3.8,61.7,0.0,no_precip,17.4,16.0,8.1,3
2012-01-05,85.0,1.28,6,1,no_event,no_event,1,2.9,1.4,65.4,0.0,no_precip,14.7,16.0,2.6,4
2012-01-06,96.0,1.28,7,1,no_event,no_event,1,6.0,4.9,58.5,0.0,no_precip,15.4,15.9,22.3,2
2012-01-07,145.0,1.28,1,1,OrthodoxChristmas,Religious,0,1.0,-1.4,66.4,0.0,no_precip,17.6,16.0,18.1,4
2012-01-08,134.0,1.28,2,1,no_event,no_event,1,-2.0,-3.1,73.9,0.0,no_precip,13.8,16.0,0.0,4
2012-01-09,102.0,1.28,3,1,no_event,no_event,1,2.8,-0.1,65.0,0.0,no_precip,23.8,16.0,12.4,4
2012-01-10,97.0,1.28,4,1,no_event,no_event,0,2.5,1.5,70.8,0.0,no_precip,19.9,15.3,0.0,4
2012-01-11,135.0,1.28,5,1,no_event,no_event,1,4.0,2.1,63.7,0.0,no_precip,18.3,15.2,8.3,4
2012-01-12,74.0,1.28,6,1,no_event,no_event,1,-5.4,-12.0,80.6,7.621,snow,24.0,6.8,99.9,1
2012-01-13,143.0,1.28,7,1,no_event,no_event,0,-8.1,-14.2,71.0,0.0,no_precip,23.0,12.5,99.3,3
2012-01-14,197.0,1.28,1,1,no_event,no_event,1,-9.7,-10.7,69.9,0.0,no_precip,9.2,14.1,81.0,4
2012-01-15,139.0,1.28,2,1,no_event,no_event,1,-4.4,-10.3,73.0,0.0,no_precip,31.3,14.0,54.1,4
2012-01-16,115.0,1.28,3,1,MartinLutherKingDay,National,0,1.3,-1.8,76.0,0.0,no_precip,25.0,14.9,44.3,2
2012-01-17,78.0,1.28,4,1,no_event,no_event,0,-4.5,-10.9,76.5,2.757,"rain,snow",30.1,9.7,69.2,3
2012-01-18,91.0,1.28,5,1,no_event,no_event,0,-11.4,-15.7,70.1,0.0,no_precip,26.4,15.9,21.8,5
2012-01-19,80.0,1.28,6,1,no_event,no_event,0,-14.9,-21.2,54.0,0.242,snow,27.6,15.4,18.0,5
2012-01-20,109.0,1.28,7,1,no_event,no_event,0,-17.1,-21.8,72.1,6.197,snow,14.4,11.0,70.1,1
2012-01-21,193.0,1.28,1,1,no_event,no_event,0,-14.0,-16.1,69.5,0.0,no_precip,13.2,15.6,17.0,5
2012-01-22,175.0,1.28,2,1,no_event,no_event,0,-4.0,-10.0,88.5,1.694,"rain,snow",29.8,5.8,78.5,2
2012-01-23,70.0,1.28,3,1,no_event,no_event,0,-0.3,-4.0,85.0,8.041,"rain,snow",25.0,9.5,100.0,3
2012-01-24,106.21457663376384,1.28,4,1,no_event,no_event,0,-3.5,-6.6,75.3,0.0,no_precip,17.7,14.2,48.7,5
2012-01-25,111.79981190577831,1.28,5,1,no_event,no_event,0,-3.5,-5.8,81.5,0.0,no_precip,24.2,9.0,65.3,3
2012-01-26,100.85060685206679,1.28,6,1,no_event,no_event,0,-0.4,-3.5,91.1,0.0,no_precip,20.8,4.3,92.5,4
2012-01-27,84.70757055571022,1.28,7,1,no_event,no_event,0,0.3,-2.9,67.3,0.242,"rain,snow",18.2,14.9,56.3,4
2012-01-28,117.64853241088804,1.28,1,1,no_event,no_event,0,-2.1,-7.2,63.3,0.242,"rain,snow",26.2,15.0,37.7,5
2012-01-29,117.85297474439955,1.28,2,1,no_event,no_event,0,-5.1,-8.7,67.9,1.086,snow,20.8,13.9,41.0,5
2012-01-30,107.58639338089324,1.28,3,1,no_event,no_event,0,0.0,-3.5,67.4,0.0,no_precip,21.6,16.0,50.6,4
2012-01-31,112.78286683874148,1.28,4,1,no_event,no_event,0,6.4,3.8,73.1,0.0,no_precip,23.4,16.0,4.7,2
2012-02-01,103.95091883389614,1.28,5,2,no_event,no_event,0,2.0,0.4,80.8,0.0,no_precip,14.6,12.0,55.0,4
2012-02-02,108.3208528858338,1.28,6,2,no_event,no_event,1,-1.6,-3.2,91.3,0.0,no_precip,10.8,5.5,80.4,5
2012-02-03,99.24624504167912,1.28,7,2,no_event,no_event,1,-0.4,-3.3,90.9,0.0,no_precip,15.9,4.9,100.0,3
2012-02-04,121.82951013052065,1.28,1,2,no_event,no_event,0,1.3,-1.2,74.7,0.0,no_precip,16.8,15.3,38.2,5
2012-02-05,128.42703287767802,1.28,2,2,SuperBowl,Sporting,1,-0.5,-2.4,79.8,0.0,no_precip,13.7,13.1,33.0,5
2012-02-06,116.95672408129155,1.28,3,2,no_event,no_event,1,-0.9,-3.7,82.4,0.0,no_precip,15.5,12.2,55.1,6
2012-02-07,101.68700481736141,1.28,4,2,no_event,no_event,0,-2.6,-6.7,76.7,0.0,no_precip,30.7,14.9,81.0,4
2012-02-08,113.75995415066188,1.28,5,2,no_event,no_event,1,-4.8,-6.7,62.0,0.0,no_precip,14.4,15.3,0.0,6
2012-02-09,99.50598118016921,1.28,6,2,no_event,no_event,1,-2.9,-6.0,61.1,0.0,no_precip,21.7,16.0,30.1,6
2012-02-10,88.37042790619307,1.28,7,2,no_event,no_event,0,-5.2,-11.5,72.5,0.925,"rain,snow",38.3,10.9,75.6,2
2012-02-11,107.36219306930866,1.34,1,2,no_event,no_event,1,-10.5,-18.2,44.0,0.0,no_precip,23.9,16.0,0.0,6
2012-02-12,106.86389976622809,1.34,2,2,no_event,no_event,1,-5.4,-10.0,42.4,0.0,no_precip,18.8,16.0,0.0,6
2012-02-13,99.76990111041488,1.34,3,2,no_event,no_event,0,-3.8,-7.3,70.8,2.338,"rain,snow",19.0,11.1,74.9,1
2012-02-14,93.28072883045746,1.34,4,2,ValentinesDay,Cultural,1,0.2,-2.6,82.2,0.0,no_precip,14.6,11.4,98.9,4
2012-02-15,87.64344658299166,1.34,5,2,no_event,no_event,1,2.9,0.0,80.2,0.0,no_precip,19.8,10.6,85.5,6
2012-02-16,63.0,1.34,6,2,no_event,no_event,0,3.0,0.6,65.5,0.0,no_precip,24.6,11.6,43.0,6
2012-02-17,108.0,1.34,7,2,no_event,no_event,0,0.7,-1.4,73.5,0.53,"rain,snow",21.6,14.4,46.5,4
2012-02-18,149.0,1.34,1,2,no_event,no_event,0,-0.4,-3.1,62.0,0.0,no_precip,20.0,16.0,29.0,6
2012-02-19,120.0,1.34,2,2,no_event,no_event,0,-2.1,-3.0,66.8,0.0,no_precip,11.9,15.8,3.9,6
2012-02-20,86.0,1.34,3,2,PresidentsDay,National,0,0.1,-3.2,62.2,0.0,no_precip,30.4,16.0,6.0,6
2012-02-21,87.0,1.34,4,2,no_event,no_event,0,2.4,-1.2,75.0,0.887,"rain,snow",27.1,11.9,87.8,3
2012-02-22,75.0,1.34,5,2,LentStart,Religious,0,1.4,-1.1,70.9,0.0,no_precip,13.5,16.0,40.1,4
2012-02-23,70.0,1.34,6,2,no_event,no_event,0,-0.2,-2.4,78.6,2.69,"rain,snow",19.1,10.4,69.7,2
2012-02-24,78.0,1.34,7,2,no_event,no_event,0,-1.1,-6.0,76.9,1.819,"rain,snow",24.6,10.1,98.9,3
2012-02-25,133.0,1.34,1,2,no_event,no_event,0,-5.2,-10.1,62.6,0.0,no_precip,22.7,16.0,27.6,7
2012-02-26,131.0,1.34,2,2,no_event,no_event,0,0.1,-4.9,62.6,0.0,no_precip,38.3,16.0,30.1,7
2012-02-27,62.0,1.34,3,2,no_event,no_event,0,-1.0,-4.9,60.8,0.0,no_precip,25.4,16.0,34.2,7
2012-02-28,67.0,1.34,4,2,no_event,no_event,0,-0.3,-3.8,73.8,2.745,"rain,snow",29.6,13.5,87.9,5
2012-02-29,56.0,1.34,5,2,LentWeek2,Religious,0,3.2,-1.1,83.5,10.888,"rain,snow",33.8,9.8,97.6,7
2012-03-01,62.0,1.34,6,3,no_event,no_event,0,2.0,0.0,78.6,0.0,no_precip,15.3,16.0,99.5,6
2012-03-02,113.0,1.34,7,3,no_event,no_event,1,0.6,-3.3,89.0,8.751,"rain,snow",26.9,7.7,95.6,2
2012-03-03,159.0,1.34,1,3,no_event,no_event,1,-1.5,-6.2,71.2,0.0,no_precip,23.4,15.4,95.4,4
2012-03-04,145.0,1.34,2,3,no_event,no_event,0,-3.9,-6.0,80.7,0.484,snow,11.1,9.8,100.0,5
2012-03-05,77.0,1.34,3,3,no_event,no_event,1,-4.2,-7.1,72.6,0.0,no_precip,23.0,14.5,36.5,7
2012-03-06,137.0,1.34,4,3,no_event,no_event,1,7.7,5.1,59.4,0.0,no_precip,32.1,16.0,8.0,7
2012-03-07,83.0,1.34,5,3,no_event,no_event,0,13.2,13.0,61.8,9.086,rain,35.0,15.0,91.6,3
2012-03-08,83.0,1.34,6,3,Purim End,Religious,1,2.8,-1.3,62.4,2.016,rain,29.3,14.2,58.1,7
2012-03-09,101.0,1.34,7,3,no_event,no_event,1,-1.3,-5.9,40.0,0.0,no_precip,31.4,16.0,1.2,8
2012-03-10,166.0,1.34,1,3,no_event,no_event,0,6.9,4.1,43.4,0.0,no_precip,33.1,16.0,2.8,7
2012-03-11,130.0,1.34,2,3,no_event,no_event,1,11.8,10.7,40.4,0.0,no_precip,24.6,16.0,12.6,6
2012-03-12,158.0,1.34,3,3,no_event,no_event,1,11.7,11.7,79.1,5.489,rain,29.4,13.4,85.1,4
2012-03-13,88.0,1.34,4,3,no_event,no_event,0,12.3,12.0,55.3,0.0,no_precip,14.1,15.8,2.4,7
2012-03-14,114.0,1.34,5,3,no_event,no_event,1,16.8,16.6,63.0,0.0,no_precip,24.9,16.0,18.8,7
2012-03-15,91.0,1.34,6,3,no_event,no_event,1,17.6,17.6,73.1,0.0,no_precip,10.7,10.7,30.8,7
2012-03-16,142.0,1.34,7,3,no_event,no_event,0,16.2,16.2,68.8,0.0,no_precip,23.7,14.0,17.5,6
2012-03-17,162.0,1.34,1,3,StPatricksDay,Cultural,0,20.5,20.5,65.5,1.619,rain,24.8,16.0,25.9,4
2012-03-18,124.0,1.34,2,3,no_event,no_event,0,20.5,20.5,61.5,0.0,no_precip,27.7,16.0,27.3,5
2012-03-19,75.0,1.34,3,3,no_event,no_event,0,19.1,19.1,77.1,4.038,rain,26.7,15.8,41.0,3
2012-03-20,92.0,1.34,4,3,no_event,no_event,0,21.9,21.8,51.2,0.0,no_precip,34.1,16.0,7.9,8
2012-03-21,77.0,1.34,5,3,no_event,no_event,0,21.3,21.3,54.6,0.0,no_precip,25.6,16.0,27.6,7
2012-03-22,79.0,1.34,6,3,no_event,no_event,0,18.9,18.9,73.6,6.874,rain,18.4,14.5,71.5,5
2012-03-23,104.0,1.34,7,3,no_event,no_event,0,16.0,16.0,89.7,4.566,rain,14.4,7.9,98.4,7
2012-03-24,158.0,1.34,1,3,no_event,no_event,0,13.8,13.8,91.4,0.006,rain,14.4,7.6,99.0,6
2012-03-25,116.0,1.34,2,3,no_event,no_event,0,15.2,15.1,74.4,0.0,no_precip,28.7,12.7,45.9,8
2012-03-26,76.0,1.34,3,3,no_event,no_event,0,4.3,0.0,61.7,0.709,rain,28.2,16.0,91.2,4
2012-03-27,65.0,1.34,4,3,no_event,no_event,0,12.6,10.6,53.8,0.0,no_precip,36.8,16.0,44.2,8
2012-03-28,5.0,1.34,5,3,no_event,no_event,0,12.8,12.7,52.3,0.0,no_precip,27.4,16.0,24.4,8
2012-03-29,84.22771463385573,1.34,6,3,no_event,no_event,0,6.1,4.1,68.5,0.0,no_precip,25.8,16.0,14.6,5
2012-03-30,56.94160369274749,1.34,7,3,no_event,no_event,0,4.8,1.8,88.1,18.898,rain,20.1,8.2,97.9,8
2012-03-31,160.0,1.48,1,3,no_event,no_event,0,4.5,1.7,87.3,0.0,no_precip,19.1,9.7,90.8,8
2012-04-01,112.0,1.48,2,4,no_event,no_event,0,8.6,7.4,79.4,0.112,rain,20.9,9.4,56.5,8
2012-04-02,82.0,1.48,3,4,no_event,no_event,1,11.0,9.9,59.8,0.0,no_precip,32.0,16.0,21.3,8
2012-04-03,84.0,1.48,4,4,no_event,no_event,1,11.8,11.0,67.1,0.0,no_precip,34.6,16.0,40.6,8
2012-04-04,78.0,1.48,5,4,no_event,no_event,0,9.8,9.0,59.8,0.0,no_precip,24.9,15.9,0.1,9
2012-04-05,82.0,1.48,6,4,no_event,no_event,1,5.9,2.9,59.3,0.0,no_precip,27.7,16.0,6.8,9
2012-04-06,127.0,1.48,7,4,no_event,no_event,1,6.5,5.4,53.6,0.0,no_precip,17.0,16.0,0.0,9
2012-04-07,104.0,1.48,1,4,no_event,no_event,0,9.3,8.4,56.8,0.491,rain,24.6,15.7,31.9,8
2012-04-08,121.0,1.48,2,4,Easter,Cultural,1,9.8,9.0,55.2,0.0,no_precip,29.9,16.0,22.8,9
2012-04-09,62.0,1.48,3,4,no_event,no_event,1,8.0,6.7,46.0,0.0,no_precip,36.2,16.0,12.1,9
2012-04-10,58.0,1.48,4,4,no_event,no_event,0,2.7,-1.2,44.2,0.0,no_precip,29.8,16.0,32.8,9
2012-04-11,78.0,1.48,5,4,no_event,no_event,1,5.6,3.9,49.4,0.0,no_precip,15.9,16.0,11.6,9
2012-04-12,55.0,1.48,6,4,no_event,no_event,1,9.3,8.6,46.1,0.0,no_precip,15.0,16.0,7.8,9
2012-04-13,95.0,1.48,7,4,no_event,no_event,0,10.8,10.0,49.1,0.0,no_precip,34.3,16.0,52.0,6
2012-04-14,172.0,1.48,1,4,Pesach End,Religious,1,15.9,15.9,68.5,0.005,rain,21.7,15.5,50.8,7
2012-04-15,86.0,1.48,2,4,OrthodoxEaster,Religious,1,18.8,18.8,82.1,17.84,rain,47.9,13.4,78.0,7
2012-04-16,55.0,1.48,3,4,no_event,no_event,0,11.2,9.4,66.7,0.026,rain,38.8,15.8,81.1,8
2012-04-17,55.0,1.48,4,4,no_event,no_event,0,7.6,7.2,60.2,0.0,no_precip,14.2,16.0,23.4,9
2012-04-18,57.0,1.48,5,4,no_event,no_event,0,13.3,12.3,60.5,0.0,no_precip,32.0,16.0,65.5,8
2012-04-19,41.0,1.48,6,4,no_event,no_event,0,7.8,5.8,84.2,20.16,rain,24.8,14.1,74.5,6
2012-04-20,94.0,1.48,7,4,no_event,no_event,0,4.9,1.4,83.7,6.044,rain,33.9,14.2,78.1,5
2012-04-21,104.0,1.48,1,4,no_event,no_event,0,6.3,5.7,60.9,0.0,no_precip,16.7,15.8,27.5,8
